
52,1739662, 20,969118, 0, 25, 0, 0, 0, 0, 0, 0, 0, 

52,1741173, 20,9689678, 0, 66, 0, 0, 0, 0, 0, 0, 0, 

52,1741173, 20,9689678, 0, 66, 0, 0, 0, 0, 0, 0, 0, 

52,1741173, 20,9689678, 0, 66, 0, 0, 0, 0, 0, 0, 0, 

52,1741173, 20,9689678, 0, 66, 0, 0, 0, 0, 0, 0, 0, 

52,1741173, 20,9689678, 0, 66, 0, 0, 0, 0, 0, 0, 0, 

52,1741173, 20,9689678, 0, 66, 0, 71,79, 0, 459,98, 0, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1741173, 20,9689678, 0, 66, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,174086, 20,9690619, 0, 72, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,174086, 20,9690619, 0, 72, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1740759, 20,9690646, 0, 40, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1739958, 20,9692603, 0, 46, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1739958, 20,9692603, 0, 46, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 

52,1737495, 20,9710789, 0, 199, 71,79, 71,79, 459,98, 459,98, 225,22, 225,22, 0, 
