
Operation; Operation Status; Created; Accepted; Start Load; Start Drive; Start Unload; End Operation; Start Latitude; Start Longitude; Current Latitude; Current Longitude; Speed; Accuracy; Old Distance to Target; Distance to Target; Old Distance to Shengen; Distance to Shengen; Old Distance to NonShengen; Distance to NonShengen; Predicted Distance; Alert Nb; Loop Time; Measurement Time

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1154; 21:53:52

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 2824; 21:53:57

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 23836; 21:54:24

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1466; 21:54:28

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 19157; 21:54:49

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1825; 21:54:55

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 4072; 21:55:02

2; 1; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1482; 21:55:06

2; 2; 11:47; 00:00; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1950; 21:55:27

2; 2; 11:47; 21:55; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 2293; 21:55:32

2; 2; 11:47; 21:55; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1217; 21:55:36

2; 2; 11:47; 21:55; 00:00; 00:00; 00:00; 00:00; 0; 0; 52,1740536; 20,9685521; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 59811; 21:56:38
